,Nom,Adresse,Latitude,Longitude,Cluster
52,Bureau d'étude  IPREV bureau d'étude en ingénierie de la sécurité  ,111 Traverse de la Montre - 13011  Marseille ,43.298226899999996,5.4760422,2
53,Agence d’architecture  C.A.D. DURAND (CABINET D'ARCHITECTURE ET DE DESIGN GILLES DURAND ARCHITECTE D P L G)  ,81 Rue Monte Cristo - 13004  Marseille ,43.2996786,5.3961843,2
54,Agence d’architecture  NAOM (New Architect Of Marseille)  ,467 Avenue de Mazargues - 13008  Marseille ,43.2570653,5.3943198,2
55,Bureau d'étude  BUREAU D'ETUDES TECHNIQUES YVES GARNIER  ,28 Rue Petit Chantier - 13007  Marseille ,43.2906688,5.3685095,2
56,SARL  WATT ,164 chemin Saint Jean du désert - 13005 Marseille,43.2940506,5.4124843,3
57,M. Jean Luc Perez ,24 avenue du Prado - 13006 Marseille,43.2841437,5.3843600999999985,3
58,Atelier d'architecture  Atelier Stéphane Fernandez  ,965 Chemin Pierre Pascalis - 13100  Aix-en-Provence ,43.5628169,5.4745658,3
59,  Ingénierie Développement Management ,19 Quai Rive neuve - 13007 Marseille,43.2929465,5.3702476,3
60,Société  TPFI ,Immeuble Le Balthazar  2 quai d’Arenc - 13002 Marseille,43.3127065,5.3668550999999995,3
61,  Carta Associés ,20 rue Saint Jacques - 13006 Marseille,43.2891427,5.3803262,3
62,Agence d’architecture  BLUTEAU ET NASSIF ,4 Avenue Braye de Cau - 13400  Aubagne,43.2834678,5.5334283,4
63,Agence d’architecture  TECHNI ARCHITECTURE ,265 Avenue de Mazargues - 13008  Marseille,43.262526,5.3932962999999985,4
64,SAS  SECHI DI NULVI - Nom commercial OCT-OPC ,30 rue du progrès - 13005 MARSEILLE,43.2967799,5.391284100000001,4
65,M. David BRUZZESE ,22 avenue André Roussin Immeuble Xanadu - 13006 Marseille,43.3559729,5.3383639,4
66,Mme Catherine Diffalah ,Siège Social  50 rue Breteuil - 13006 Marseille,43.288823799999996,5.3763494000000005,4
